site,nickname,gender,age,lat,long,date_report,est_d_death,date_visit,age_days,transect,species,distance_m,browsed,notes,year_sampled,unique_id,y_obs,section,age_class,cause_death,soil_type,type,region,average_rainfall_mm,dist2road,dist2river,dist2aw,mass_bones,pellets_dung,elephant_dung,pat_dung,zebra_dung,precip_12mo_before_death,precip_12mo_after_death,precip_12mo_before_survey,average_precip_16_25,temp_12mo_before_death,temp_12mo_after_death,temp_12mo_before_survey,average_temp_16_24,temp_max_12mo_before_death,temp_max_12mo_before_survey,season_death,ele_density_2017_buf,hyena_density_2015_idw
B_2023_19,Flats,Female,Adult,-23.0671,31.3515,2023-Feb-23,2/21/2023,8/8/2023,168,NW,Colophospermum_mopane,14.7,3,NA,2023,B_2023_19_2023,2023,Shingwedzi,adult,Natural,Basalt,carcass,North,409.2332781,1133.617664,2712.178955,3233.879639,0.99,0.01,10.93,0.29,NA,441.4717784,180.15639,375.5803435,403.9019436,23.71818182,24.04545455,24.08181818,23.81212121,35.2,35.2,late_wet,1.104535305,0.238616085
B_2018_49,Phys,Male,Adult,-23.14099,31.42011,2018-Apr-03,3/29/2018,8/3/2023,1953,E,Combretum_imberbe,14.7,2,dng,2023,B_2018_49_2023,2018,Shingwedzi,adult,Natural,Basalt,carcass,North,388.6570397,195.1518768,3655.055664,896.7581177,70.43,0.36,0.72,NA,0.06,404.2888272,330.6866746,349.3315204,373.3621478,23.27727273,23.72727273,23.85909091,23.62474747,33.2,35,late_wet,2.330028367,0.151754985
B_2022_37,Nhlanganini,Male,Adult,-23.86798,31.54196,2022-May-04,4/28/2022,8/17/2023,476,SE,Colophospermum_mopane,14.6,10,dng,2023,B_2022_37_2023,2022,Letaba,adult,Natural,Basalt,carcass,Central,366.0817611,139.2737201,4837.447266,8105.197266,35.36,NA,2.87,NA,NA,411.3091843,464.5164974,457.9195652,416.4311916,23.40909091,23.73181818,24.00454545,23.71111111,34.8,34,dry,1.00585924,0.374042789
B_2020_100,Albasini,Male,Adult,-25.08936,31.244,2020-Dec-09,12/3/2020,8/29/2023,999,NW,Dichrostachys_cinerea,14.5,3,insect damage,2023,B_2020_100_2023,2020,Pretoriuskop,adult,Natural,Granite,carcass,South,612.5492397,304.6948127,6418.899414,1380.727539,3.13,0.1,1.78,0.41,0.44,627.2409425,895.8774095,861.9257221,656.2625482,21.48636364,21.21818182,21.91363636,21.78080808,31.5,32.3,early_wet,0.633436674,0.599593232
B_2022_30,Airport,Male,Adult,-24.970945,31.619322,2022-Apr-15,4/15/2022,7/20/2023,461,N,Dichrostachys_cinerea,14.3,5,NA,2023,B_2022_30_2023,2022,Skukuza,adult,DCA,Granite,carcass,South,475.9185388,632.8392603,1640.893921,4457.464355,0.13,0.46,NA,NA,NA,578.2764215,709.1182847,695.2746511,554.5272274,21.95,22.24090909,22.50454545,22.31717172,32.1,31.7,dry,1.228676161,1.091078465
B_2023_5,Giriyondo,Male,Adult,-23.70609,31.57687,2023-Jan-12,1/10/2023,8/18/2023,220,W,Colophospermum_mopane,14.2,7,NA,2023,B_2023_5_2023,2023,Letaba,adult,Natural,Basalt,carcass,Central,360.4362185,19.14731014,7000.228027,4334.963867,3.38,NA,6.73,0.18,NA,322.6516035,351.8327339,393.2765558,383.8360305,23.36818182,23.55909091,23.66818182,23.40909091,34.1,33.8,late_wet,0.547493004,0.372302675
B_2019_51,Goldilocks,Male,Adult,-25.00095,31.47464,2019-Jul-09,7/9/2019,7/27/2023,1479,N,Spirostachys_africana,14.2,3,dng,2023,B_2019_51_2023,2019,Skukuza,adult,Management,Granite,carcass,South,554.9358696,458.962897,2215.163086,4068.99585,109.14,0.18,0.12,0.03,NA,507.0473132,499.5334642,733.8088856,565.1577309,22.42272727,21.91363636,22.37727273,22.22323232,32.7,31.6,dry,0.413802852,0.691881655
B_2022_61,Mopane,Male,Adult,-23.12896,31.43464,2022-Jul-07,7/7/2022,8/9/2023,398,NE,Colophospermum_mopane,14.2,4,dng,2023,B_2022_61_2023,2022,Shingwedzi,adult,DCA,Basalt,carcass,North,384.6655571,524.4575113,1548.173096,2296.010254,25.69,0.01,0.55,NA,NA,400.0614641,348.7654159,349.3315204,373.3621478,23.18636364,23.85909091,23.85909091,23.62474747,34.4,35,dry,2.247267796,0.208349568
B_2022_33,Msinya,Male,Sub Adult,-23.06978,30.91227,2023-Apr-04,4/9/2022,8/10/2023,488,NW,Colophospermum_mopane,14.2,1,dng,2023,B_2022_33_2023,2022,Shangoni,sub-adult,Poached,Granite,carcass,North,371.9511807,1089.562752,2585.275391,6672.101074,122.84,NA,1.04,NA,NA,361.1855645,384.218508,382.5109634,415.9791191,22.53181818,23.08636364,23.34090909,22.95505051,32.8,33.4,dry,0.353323974,0.354058543
B_2023_15,Woody,Male,Adult,-25.15009,31.2842,2023-Jan-28,1/25/2023,7/24/2023,180,E,Dichrostachys_cinerea,14.2,5,dng,2023,B_2023_15_2023,2023,Pretoriuskop,adult,Natural,Granite,carcass,South,560.6265607,124.7936758,648.3532715,2191.235352,0.54,0.04,3.36,NA,NA,647.1735821,925.7168159,974.2053509,727.2266557,21.39545455,21.44090909,21.61363636,21.48686869,32,32,late_wet,1.072704316,0.402141471
B_2023_8,Daga,Female,Adult,-23.03274,31.36065,2023-Jan-20,1/17/2023,8/8/2023,203,N,Colophospermum_mopane,14.1,7,dng,2023,B_2023_8_2023,2023,Vlakteplaas,adult,Natural,Basalt,carcass,North,392.7141317,396.9509186,3050.477783,2479.92749,19.23,0.08,48.47,0.09,NA,289.6736453,270.1842053,346.3965981,377.6306918,23.95454545,23.96363636,24.17272727,23.92121212,35.5,35.5,late_wet,0.958112757,0.120617115
B_2022_61,Mopane,Male,Adult,-23.12896,31.43464,2022-Jul-07,7/7/2022,8/9/2023,398,N,Colophospermum_mopane,14.1,4,dng,2023,B_2022_61_2023,2022,Shingwedzi,adult,DCA,Basalt,carcass,North,384.6655571,524.4575113,1548.173096,2296.010254,25.69,0.01,0.55,NA,NA,400.0614641,348.7654159,349.3315204,373.3621478,23.18636364,23.85909091,23.85909091,23.62474747,34.4,35,dry,2.247267796,0.208349568
