site,nickname,section,lat,long,dis.road.m,soil_type,y_obs,d_obs,est_d_death,cause_death,sex,age_class,date_visit,age_days,type,full_partial,direction,distance,weight,nickname_distance_direction,mean_realArea,mean_realPerimeter,mean_dgciOriginal,mean_dgciCorrected,n_realArea,n_realPerimeter,n_dgciOriginal,n_dgciCorrected,n_leaves_total,n_area_used,total_area_cm2_est,SLA_cm2_g,SLA_valid,SLA_m2_kg,unique_id,dist2road,dist2river,dist2aw,average_precip_16_25,precip_12mo_before_death,precip_12mo_after_death,precip_12mo_before_survey,average_temp_16_24,temp_12mo_before_death,temp_12mo_after_death,temp_12mo_before_survey,temp_max_12mo_before_death,temp_max_12mo_before_survey,season_death,season_survey,ele_density_2017_buf,mass_bones,average_score_bones,frag_count,nonfrag_count,pellets_dung,elephant_dung,pat_dung,zebra_dung,hyena_dung,jackal_dung,carnivore_dung,rhino_dung
B_2022_31,Bububu,Shangoni,-23.075886,30.91599,1200,Granite,2022,5-Apr-23,10-Apr-22,Poached,male,adult,18-Aug-25,1226,carcass,partial,S,2.5,7.06,Bububu_2.5_S,38.87823141,35.77371262,0.40060008,0.098458638,10,10,10,10,10,10,388.7823141,55.06831644,TRUE,5.506831644,B_2022_31_2025,1199.898649,2460.64209,6797.304199,415.9791191,361.1855645,384.218508,540.3760989,22.95505051,22.53181818,23.08636364,26.125,32.8,36.1,dry,dry,0.073211274,38.1,2.25,0,8,NA,0.6,NA,NA,NA,NA,NA,NA
B_2022_31,Bububu,Shangoni,-23.075886,30.91599,1200,Granite,2022,5-Apr-23,10-Apr-22,Poached,male,adult,18-Aug-25,1226,carcass,partial,E,5,8.28,Bububu_5_E,46.08745647,30.37207012,0.436288205,0.16294973,10,10,10,10,10,10,460.8745647,55.66117931,TRUE,5.566117931,B_2022_31_2025,1199.898649,2460.64209,6797.304199,415.9791191,361.1855645,384.218508,540.3760989,22.95505051,22.53181818,23.08636364,26.125,32.8,36.1,dry,dry,0.073211274,38.1,2.25,0,8,NA,0.6,NA,NA,NA,NA,NA,NA
B_2021_49,Ntshivana,Mooiplaas,-23.32766,31.5426,169,Granite,2021,10-Jul-21,7-Jul-21,Natural,female,adult,14-Aug-25,1499,carcass,partial,W,10,6.6,Ntshivana_10_W,36.758833,29.82667155,0.280526977,0.039168308,10,10,10,10,10,10,367.58833,55.69520151,TRUE,5.569520151,B_2021_49_2025,168.9993396,8214.838867,2959.027832,416.8094176,536.7172086,445.9968957,431.1295652,23.77171717,23.22272727,23.34545455,26.95,34.2,37.3,dry,dry,1.059971921,0.62,4.833333333,17,1,0.06,1.9,NA,0.18,NA,NA,NA,NA
B_2021_49,Ntshivana,Mooiplaas,-23.32766,31.5426,169,Granite,2021,10-Jul-21,7-Jul-21,Natural,female,adult,14-Aug-25,1499,carcass,partial,W,6.6,7.81,Ntshivana_6.6_W,43.50119067,40.33581688,0.33099686,0.152002186,10,10,10,10,10,10,435.0119067,55.69934785,TRUE,5.569934785,B_2021_49_2025,168.9993396,8214.838867,2959.027832,416.8094176,536.7172086,445.9968957,431.1295652,23.77171717,23.22272727,23.34545455,26.95,34.2,37.3,dry,dry,1.059971921,0.62,4.833333333,17,1,0.06,1.9,NA,0.18,NA,NA,NA,NA
B_2024_90,Ntokozo,Letaba,-23.92952,31.49867,34,Granite,2024,5/6/2025,5/6/2024,Management,Female,adult,19-Jun-25,409,carcass,partial,E,2.5,9.47,Ntokozo_2.5_E,66.09380337,41.7193266,0.628375979,0.243247434,8,8,8,8,8,8,528.750427,55.83425839,TRUE,5.583425839,B_2024_90_2025,34.0677111,9402.871094,2948.120605,450.029723,332.0134277,399.6323657,399.2558179,23.05505051,23.24545455,24.14166667,24.14166667,33.4,35.9,dry,dry,0.728929639,0.32,5,14,0,NA,4.34,NA,NA,NA,NA,NA,NA
B_2022_31,Bububu,Shangoni,-23.075886,30.91599,1200,Granite,2022,5-Apr-23,10-Apr-22,Poached,male,adult,18-Aug-25,1226,carcass,partial,N,5,4.47,Bububu_5_N,25.24547341,29.01797533,0.510227761,0.16897241,10,10,10,10,10,10,252.4547341,56.47756915,TRUE,5.647756915,B_2022_31_2025,1199.898649,2460.64209,6797.304199,415.9791191,361.1855645,384.218508,540.3760989,22.95505051,22.53181818,23.08636364,26.125,32.8,36.1,dry,dry,0.073211274,38.1,2.25,0,8,NA,0.6,NA,NA,NA,NA,NA,NA
B_2024_90,Ntokozo,Letaba,-23.92952,31.49867,34,Granite,2024,5/6/2025,5/6/2024,Management,Female,adult,19-Jun-25,409,carcass,partial,S,2.5,8.63,Ntokozo_2.5_S,49.32785865,38.92302758,0.666082006,1.525280479,10,10,10,10,10,10,493.2785865,57.15858476,TRUE,5.715858476,B_2024_90_2025,34.0677111,9402.871094,2948.120605,450.029723,332.0134277,399.6323657,399.2558179,23.05505051,23.24545455,24.14166667,24.14166667,33.4,35.9,dry,dry,0.728929639,0.32,5,14,0,NA,4.34,NA,NA,NA,NA,NA,NA
B_2022_31,Bububu,Shangoni,-23.075886,30.91599,1200,Granite,2022,5-Apr-23,10-Apr-22,Poached,male,adult,18-Aug-25,1226,carcass,partial,N,3.1,5.29,Bububu_3.1_N,30.24686009,29.96333673,0.476464783,0.23730867,10,10,10,10,10,10,302.4686009,57.17742929,TRUE,5.717742929,B_2022_31_2025,1199.898649,2460.64209,6797.304199,415.9791191,361.1855645,384.218508,540.3760989,22.95505051,22.53181818,23.08636364,26.125,32.8,36.1,dry,dry,0.073211274,38.1,2.25,0,8,NA,0.6,NA,NA,NA,NA,NA,NA
B_2023_66,Machalolo,Letaba,-23.81536,31.49551,1200,Basalt,2023,16-Jul-23,16-Jul-23,Management,female,adult,6-Aug-25,752,carcass,partial,E,23.5,6.74,Machalolo_23.5_E,38.78574027,39.46424998,0.422195453,0.129227442,10,10,10,10,10,10,387.8574027,57.54560871,TRUE,5.754560871,B_2023_66_2025,1200.249433,4883.600586,7517.097656,426.8250235,473.4461799,275.8268936,383.5587597,23.37676768,23.72727273,23.7,26.475,33.6,36.7,dry,dry,1.177746579,0.34,5,70,0,0.06,0.08,NA,0.08,NA,NA,NA,NA
B_2022_31,Bububu,Shangoni,-23.075886,30.91599,1200,Granite,2022,5-Apr-23,10-Apr-22,Poached,male,adult,18-Aug-25,1226,carcass,partial,E,3.6,4.26,Bububu_3.6_E,24.54574129,26.04102804,0.399013556,0.142723537,10,10,10,10,10,10,245.4574129,57.61911101,TRUE,5.761911101,B_2022_31_2025,1199.898649,2460.64209,6797.304199,415.9791191,361.1855645,384.218508,540.3760989,22.95505051,22.53181818,23.08636364,26.125,32.8,36.1,dry,dry,0.073211274,38.1,2.25,0,8,NA,0.6,NA,NA,NA,NA,NA,NA
